order_details_id,order_id,order_date,order_time,item_id,item_name,category,price
1,1,1/1/23,11:38:36 AM,109.0,Korean Beef Bowl,Asian,17.95
2,2,1/1/23,11:57:40 AM,108.0,Tofu Pad Thai,Asian,14.5
3,2,1/1/23,11:57:40 AM,124.0,Spaghetti,Italian,14.5
4,2,1/1/23,11:57:40 AM,117.0,Chicken Burrito,Mexican,12.95
5,2,1/1/23,11:57:40 AM,129.0,Mushroom Ravioli,Italian,15.5
6,2,1/1/23,11:57:40 AM,106.0,French Fries,American,7.0
7,3,1/1/23,12:12:28 PM,117.0,Chicken Burrito,Mexican,12.95
8,3,1/1/23,12:12:28 PM,119.0,Chicken Torta,Mexican,11.95
9,4,1/1/23,12:16:31 PM,117.0,Chicken Burrito,Mexican,12.95
10,5,1/1/23,12:21:30 PM,117.0,Chicken Burrito,Mexican,12.95
11,6,1/1/23,12:29:36 PM,101.0,Hamburger,American,12.95
12,6,1/1/23,12:29:36 PM,114.0,Potstickers,Asian,9.0
13,7,1/1/23,12:50:37 PM,123.0,Chips & Guacamole,Mexican,9.0
14,8,1/1/23,12:51:37 PM,123.0,Chips & Guacamole,Mexican,9.0
15,9,1/1/23,12:52:01 PM,108.0,Tofu Pad Thai,Asian,14.5
16,9,1/1/23,12:52:01 PM,126.0,Fettuccine Alfredo,Italian,14.5
17,9,1/1/23,12:52:01 PM,110.0,Pork Ramen,Asian,17.95
18,9,1/1/23,12:52:01 PM,117.0,Chicken Burrito,Mexican,12.95
19,9,1/1/23,12:52:01 PM,117.0,Chicken Burrito,Mexican,12.95
20,9,1/1/23,12:52:01 PM,129.0,Mushroom Ravioli,Italian,15.5
21,9,1/1/23,12:52:01 PM,122.0,Chips & Salsa,Mexican,7.0
22,9,1/1/23,12:52:01 PM,130.0,Shrimp Scampi,Italian,19.95
23,9,1/1/23,12:52:01 PM,132.0,Eggplant Parmesan,Italian,16.95
24,10,1/1/23,1:00:15 PM,129.0,Mushroom Ravioli,Italian,15.5
25,10,1/1/23,1:00:15 PM,105.0,Mac & Cheese,American,7.0
